Acrobatic: You have excellent body awareness and coordination. |Req: None. |Bonus: You get a +2 Bonus on all Jump checks and Tumble checks.
Agile: You are particularly flexible and poised. |Req: None. |Bonus: You get a +2 Bonus on all Balance checks and Escape Artist checks.
Alertness: You have finely tuned senses. |Req: None. |Bonus: You get a +2 Bonus on all Listen and Spot checks.
Animal Affinity: You are good with animals. |Req: None. |Bonus: You get a +2 Bonus on all Handle Animal checks and Ride checks.
Armor Proficiency (Heavy): You are proficient with heavy armor. |Req: Armor Proficiency (light), Armor Proficiency (medium). |Bonus: When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble checks. 
Armor Proficiency (medium): You are proficient with medium armor. |Req: Armor Proficiency (light). |Bonus: When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble checks.
Armor Proficiency (light): You are proficient with light armor. |Req: None. |Bonus: When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Balance, Climb, Escape Artist, Hide, Jump, Move Silently, Pick Pocket, and Tumble checks.
Athletic: You have a knack for athletic endeavors. |Req: None. |Bonus: You get a +2 Bonus on all Climb checks and Swim checks.
Augment Summoning: Your summoned creatures are more powerful than normal. |Req: Spell Focus. |Bonus: Each creature you conjure with any summon spell gains a +4 enhancement Bonus to Strength and Constitution for the duration of the spell that summoned it.
Blind Fight: You know how to fight without being able to see your foes. |Req: None. |Bonus: In melee, every time you miss because of concealment, you can reroll your miss chance percentile roll one time to see if you actually hit. An invisible attacker gets no advantages related to hitting you in melee.
Brew Potion: You can create potions. |Req: Caster level 3rd. |Bonus: You can create a potion of any 3rd-level or lower spell that you know and that targets one or more creatures.
Cleave: You can follow through with powerful blows. |Req: Power Attack, STR 13. |Bonus: If you deal a creature enough damage to make it drop, you get an immediate, extra melee attack against another creature within reach.
Combat Casting: You are adept at casting spells in combat. |Req: None. |Bonus: You get a +4 Bonus on Concentration checks made to cast a spell or use a spell-like ability while on the defensive or while you are grappling or pinned.
Combat Expertise: You are trained at using your combat skills for defense as well as offense. |Req: INT 13. |Bonus: When you use the attack action or the full attack action in melee, you can take a penalty of as much as -5 on your attack roll and add the same number (+5 or less) as a dodge Bonus to your Armor Class. This number may not exceed your base attack |Bonus. The changes to attack rolls and Armor Class last until your next action.
Combat Reflexes: You can respond quickly and repeatedly to opponents who let their defenses down. |Req: None. |Bonus: When foes leave themselves open, you may make a number of additional attacks of opportunity equal to your Dexterity Bonus.
Craft Magic Arms and Armor: You can create magic weapons, armor and shields. |Req: Caster level 5th. |Bonus: You can create any magic weapon, armor, or shield whose prerequisites you meet.
